harga,gambar,judul,deskripsi
15.000,gambar1.jpg,Basreng, Basreng Uk. 120 Gram Basreng berasal dari akronim bahasa Sunda baso digoréng baso digoreng adalah camilan khas Sunda yang terbuat dari olahan bakso ikan yang diiris tipis kemudian digoreng Basreng dapat juga disajikan dengan taburan bumbu pedas Kami dari toko cemilan saat ini telah menyajikan basreng dengan tingkat kepedasan yang bervariasi Jangan lupa diorder 😊
15.000,gambar2.jpg,Corndog, Corndog adalah jajanan yang terdiri dari tepung sosis keju mozarella kentang dan saus Sebenarnya sih keju mozarella yang lumer dan berlimpah ini yang menjadi daya tarik utama corndog Corndog dibanderol dengan harga yang bervariasi namun kami dari toko cemilan menyajikan harga  yang berkualitas dan rasanya enak dan tentu ga nguras kantong sih
15.000,gambar3.jpg,Salad buah, Uk 200ml Salad buah adalah makanan segar yang terbuat dari berbagai macam buah enak dan segar yang dicampur dengan bahan lain seperti yogurt mayones dan keju dan bahan rahasia yang tentunya akan membuat para konsumen semakin penasaran dengan rasa nya Soal rasa dijamin mantul banget
10.000,gambar4.jpg,es kuwut, Es kuwut adalah minuman khas Bali dengan bahan dasar air kelapa muda yang diberi campuran melon jeruk nipis dan selasih Dari bahannya saja sudah bisa dipastikan kesegarannya ya Daripada cuma dibayangkan mending langsung bikin saja Benar-benar mudah dan menyegarkan
10.000,gambar5.jpg,onde onde, Onde-onde terbuat dari tepung terigu ataupun tepung ketan yang digoreng atau direbus dan permukaannya ditaburi/dibalur dengan biji wijen Terdapat bermacam-macam variasi
 8.000,gambar7.jpg,Keripik bayam, Keripik bayam adalah keripik yang terbuat dari daun bayam dan digoreng dengan menggunakan tepung yang telah dibumbui. Biasanya rasanya adalah asin dengan aroma bawang yang gurih.
10.000,gambar8.jpg,Dimsum, Dimsum merupakan salah satu makanan asal Tiongkok yang sangat populer di dunia termasuk di Indonesia dimsum memiliki rasa yang enak banyak variasi dimsum juga merupakan alternatif makanan sehat 
20.000,gambar9.jpg,Brownies Lumer, Brownies lumer adalah makanan berbahan tepung dan cokelat yang dipanggang atau dikukus Kue Brownies berwarna coklat pekat memiliki tekstur isi yang padat tapi empuk dengan lapisan meleleh coklat manis akan sangat nikmat dalam sekali gigitan. Rasanya pun sangat enak manis dengan aroma coklat yang khas.
12.000,gambar10.jpg,Boluku Oishi, Bolu mini motif yg dibuat tanpa pengawet dan pemanis buatan. Kami prosesnya berdasarkan order ya guys🥰 Homemade ya jadi dijamin slalu fresh bisa dijadikan cemilan sehat yg mengenyangkan..
 5.000,gambar11.jpg,Makaroni, Uk.80 gram Makaroni adalah sejenis pasta yang terbuat dari campuran gandum jenis durum tepung terigu dan air. Makaroni yang beredar di pasaran umumnya telah diperkaya dengan berbagai vitamin dan mineral 
10.000,gambar12.jpg,Ceker Mercon, ceker mercon memiliki cita rasa yang pedas sehingga anak kecil tidak disarankan untuk memakannya. Kuliner ini sangat nikmat apabila disajikan dengan nasi hangat
27.000,gambar13.jpg,Patish Regal, Apa itu Pathis Chocolade??? Jadii Pathis Chocolade adalah cokelat lumer kekinian yang dibuat dari COKLAT PREMIUM TERBAIK dipadu dengan renyah nya rice crispy dan disajikan secara aesthetic di dalam jar kaca. Moodbooster yang tentunya melengkapi selera nyemil kamu nihhh 
20.000,gambar14.jpg,Baso aci, eksturnya yang kenyal karena terbuat dari tepung sagu ini biasanya menggunakan topping ceker ayam tahu dan pilus rasa kencur. Sensasi yang nikmat kuliner tersebut kini menjadi santapan oleh banyak kalangan.
